original-uri,memento-closest,memento-first,memento-last,timegate_uri
http://www.fp7-icarus.eu/,http://arquivo.pt/wayback/wayback/20141129042456/http://www.fp7-icarus.eu/,http://arquivo.pt/wayback/wayback/20141129042456/http://www.fp7-icarus.eu/,http://arquivo.pt/wayback/wayback/20141129042456/http://www.fp7-icarus.eu/,http://timetravel.mementoweb.org/timegate/http://www.fp7-icarus.eu/
https://sites.google.com/site/fp7misafe/,,,,http://timetravel.mementoweb.org/timegate/https://sites.google.com/site/fp7misafe/
http://eurhealth.org/,http://web.archive.org/web/20130616234603/http://eurhealth.org/,http://web.archive.org/web/20130616234603/http://eurhealth.org/,http://web.archive.org/web/20160313041715/http://eurhealth.org/,http://timetravel.mementoweb.org/timegate/http://eurhealth.org/
http://www.fp7-tiramisu.eu/,http://web.archive.org/web/20130307022401/http://www.fp7-tiramisu.eu/,http://web.archive.org/web/20130307022401/http://www.fp7-tiramisu.eu/,http://web.archive.org/web/20160312025118/http://fp7-tiramisu.eu/,http://timetravel.mementoweb.org/timegate/http://www.fp7-tiramisu.eu/
http://www.neuron-eranet.eu/,http://web.archive.org/web/20130313044006/http://www.neuron-eranet.eu/,http://web.archive.org/web/20080127110408/http://www.neuron-eranet.eu/,http://web.archive.org/web/20160310194713/http://neuron-eranet.eu/,http://timetravel.mementoweb.org/timegate/http://www.neuron-eranet.eu/
http://www.stages.csmcd.ro/,http://web.archive.org/web/20130704130517/http://stages.csmcd.ro,http://web.archive.org/web/20130704130517/http://stages.csmcd.ro,http://web.archive.org/web/20160314224712/http://stages.csmcd.ro/,http://timetravel.mementoweb.org/timegate/http://www.stages.csmcd.ro/
http://www.alta-space.com/pulcher/,http://web.archive.org/web/20130404085351/http://www.alta-space.com/pulcher/,http://web.archive.org/web/20130404085351/http://www.alta-space.com/pulcher/,http://web.archive.org/web/20160309144341/http://alta-space.com/pulcher,http://timetravel.mementoweb.org/timegate/http://www.alta-space.com/pulcher/
http://www.scintilla-project.eu/,http://web.archive.org/web/20121229155544/http://www.scintilla-project.eu/,http://web.archive.org/web/20121229155544/http://www.scintilla-project.eu/,http://web.archive.org/web/20160313105201/http://scintilla-project.eu/,http://timetravel.mementoweb.org/timegate/http://www.scintilla-project.eu/
http://www.biomedbridges.eu/,http://web.archive.org/web/20130123014327/http://www.biomedbridges.eu/,http://web.archive.org/web/20130123014327/http://www.biomedbridges.eu/,http://web.archive.org/web/20160315041926/http://www.biomedbridges.eu/,http://timetravel.mementoweb.org/timegate/http://www.biomedbridges.eu/
http://marine-opec.eu/,http://web.archive.org/web/20130406190454/http://marine-opec.eu,http://web.archive.org/web/20130406190454/http://marine-opec.eu,http://web.archive.org/web/20160305161000/http://marine-opec.eu/,http://timetravel.mementoweb.org/timegate/http://marine-opec.eu/
http://www.epredice.eu/,http://web.archive.org/web/20120905221920/http://www.epredice.eu/,http://web.archive.org/web/20120707031622/http://www.epredice.eu/,http://web.archive.org/web/20160311182702/http://epredice.eu/,http://timetravel.mementoweb.org/timegate/http://www.epredice.eu/
http://www.synsys.eu/,http://web.archive.org/web/20121125111118/http://www.synsys.eu/,http://web.archive.org/web/20101203140626/http://www.synsys.eu/,http://web.archive.org/web/20160309201027/http://www.synsys.eu/,http://timetravel.mementoweb.org/timegate/http://www.synsys.eu/
http://www.diana-project.com/,http://web.archive.org/web/20130517064719/http://diana-project.com,http://web.archive.org/web/20130517064719/http://diana-project.com,http://web.archive.org/web/20160307030845/http://www.diana-project.com,http://timetravel.mementoweb.org/timegate/http://www.diana-project.com/
http://www.practice-fp7-security.eu/,http://web.archive.org/web/20130517033828/http://practice-fp7-security.eu,http://web.archive.org/web/20130517033828/http://practice-fp7-security.eu,http://web.archive.org/web/20160313133004/http://practice-fp7-security.eu/,http://timetravel.mementoweb.org/timegate/http://www.practice-fp7-security.eu/
http://www.seek-project.eu/,http://web.archive.org/web/20130422181911/http://seek-project.eu,http://web.archive.org/web/20130422181911/http://seek-project.eu,http://web.archive.org/web/20150717085537/http://www.seek-project.eu/,http://timetravel.mementoweb.org/timegate/http://www.seek-project.eu/
